Enunciado;Alternativa correcta;Alternativa 1;Alternativa 2;Alternativa3; Alternativa 4
Señale la organela que presenta numerosas enzimas oxidasas y catalasas.;4;Lisosoma;Cloroplasto;Ribosoma;Peroxisoma
Las esponjas de mar y las amebas dependen de la digestión intracelular. Las sustancias suelen desplazarse a través de la membrana celular mediante procesos que pueden clasificarse como activos o pasivos, según requieran o no de energía. ¿Cómo se denomina el proceso donde extensiones de la membrana engullen partículas extracelulares para degradarlas en el interior celular?;2;Permeabilidad;Fagocitosis;Citocinesi;Exocitosis
Los organismos autótrofos son indispensables para el desarrollo de la vida, ya que son los únicos que pueden sintetizar, a partir de sustancias inorgánicas, las sustancias orgánicas que servirán de alimento a todos los demás seres vivos. Las bacterias primitivas usaban H2S disuelto como fuente de hidrógeno al escasear este elemento, comenzaron a usar H2O en su reemplazo, dando lugar a la liberación de oxígeno a la atmósfera. ¿Cuál de los siguientes procariotas pudo hacer este cambio?;2;Sulfurobacterias;Cianobacterias;Eubacterias;Metanobacterias
Los habitantes ribereños del río Napo han denunciado que las condiciones del río se han deteriorado enormemente, dan cuenta de una proliferación excesiva de algas y la presencia de algunos peces muertos en su orilla. Durante el análisis respectivo, se determinó la presencia de bacterias nitrificantes. ¿Cuál es el proceso que explicaría esta condición de crecimiento excesivo de algas y la mortalidad de los peces;4;Intoxicación;Desertización;Industrialización;Eutrofización
La excreción es el proceso mediante el cual los organismos eliminan sus desechos metabólicos, tiene como fin mantener el equilibrio interno de todo ser vivo. Los seres humanos eliminamos estos desechos a través del sudor, las lágrimas y la orina. Ahora bien, Rafael se compró un pollito y lo llevó a su casa para criarlo, pero observa que el pollito solo defeca y no orina como los humanos. Ello se debe a que las aves eliminan:;1;el ácido úrico combinado con las heces por la cloaca;el agua y el CO2, que se evaporan rápidamente por la piel;el agua y el amoníaco, porque no tienen glomérulos.;el CO2 y el amoníaco, que son eliminados por el recto.
Dos especies que viven en la selva, A y B, presentan ciertas características que definen su nicho ecológico. Por ejemplo, ambas se alimentan de gusanos y habitan en la copa de los árboles. Sin embargo, la especie A busca alimentos por las noches, mientras que la especie B lo hace por las mañanas. De acuerdo con este enunciado, podemos afirmar que las especies A y B:;2;compiten por el mismo alimento, lo que ocasionará que una de las especies se extinga con el paso del tiempo;conviven en el mismo ecosistema porque, si bien tienen el mismo alimento, lo buscan en diferentes horas del día;no conviven en el mismo ecosistema porque, al habitar en la copa de los árboles, el espacio sería insuficiente para ambas;compiten por el mismo alimento y tienen el mismo hábitat, entonces A y B pertenecen a la misma especie
La oxidación anaeróbica de la glucosa se lleva a cabo en el citosol y consta de dos etapas: glucólisis y fermentación. De ellas, solo la glucólisis aporta ATP. La fermentación consiste en la reducción del piruvato, que acepta los protones y electrones transportados por el NADH generado en la glucólisis. El producto final que se obtiene de la reducción del piruvato depende de la célula en que ocurre: en levaduras ocurre la fermentación «alcohólica» y en algunas células animales, como los eritrocitos y las células musculares esqueléticas, el piruvato es reducido a lactato o ácido láctico. Este tipo de fermentación se denomina «láctica». ¿Cuál es la función más importante del proceso de fermentación?;4;Generar un gradiente de protones para conseguir la síntesis del ATP;Oxidar la glucosa para generar transportadores de electrones reducidos;Generar alcohol para bebidas como el vino y ácido láctico para el yogurt;Regenerar NAD+ desde NADH para asegurar que la glucólisis continúe
En el sistema digestivo humano, las dos hormonas gastrointestinales involucradas en la regulación del pH son la gastrina y la secretina. La primera estimula la producción de ácido clorhídrico en el estómago, mientras que la segunda estimula la secreción de bicarbonato por el páncreas. ¿Qué ocurre si, en un determinado momento, el pH a nivel del duodeno es de 2,5? ;3;Aumentan los niveles de gastrina y secretina en simultáneo.;Disminuye el nivel de secretina y aumenta el de gastrina.;Disminuye el nivel de gastrina y aumenta el de secretina. ;Se inhibe totalmente la secreción de ambas hormonas. 
Los eritrocitos o glóbulos rojos son células que forman parte del tejido sanguíneo. Si se trata de hidratar por vía parenteral a un paciente y solo se cuenta con solución salina al 5%, ¿qué efecto provocará la administración de esta solución en los glóbulos rojos del paciente?;1;Se deshidratarán, debido a que eliminan agua de su interior.;Estallarán, debido a que ingresa mucha agua a su interior. ;Se deshidratarán, debido a que eliminan solutos de su interior. ;Estallarán, debido a que ingresan iones sodio a su interior. 
Gonzalo regresó a su pueblo natal después de varios años. Fue al río donde antes solía bañarse y capturar algunos peces, pero se dio con la sorpresa de que las aguas tenían un color rojo oscuro, ya no había peces y se vertían líquidos residuales de la minería ilegal que había proliferado en la zona. Gonzalo dedujo, entonces, que esta actividad había generado contaminantes como;3;pesticidas clorados;alquil sulfonatos;metales pesados.;óxidos de carbono.
